gam,[109.49367089  87.34177215  65.18987342  96.20253165 105.06329114
 109.49367089 118.35443038 109.49367089]
+,[199.77848101 229.79493671 258.08481013 204.44177215 205.64177215
 194.61518987 217.10506329 217.26835443]
-,[164.77848101 185.99493671 188.98481013 168.24177215 170.84177215
 163.81518987 173.10506329 178.56835443]
sig,[182.27848101 207.59493671 222.78481013 187.34177215 187.34177215
 177.21518987 192.40506329 197.46835443]
chi,[0.37450731 0.59696106 1.75923999 0.42775736 0.4145778  0.37605233
 0.52977514 0.43717817]
